virus,host,interaction
PG-2021_10,Staphylococcus_arlettae,NoInf
PG-2021_10,Staphylococcus_aureus,Inf
PG-2021_10,Staphylococcus_auricularis,NoInf
PG-2021_10,Staphylococcus_capitis,Inf
PG-2021_10,Staphylococcus_caprae,NoInf
PG-2021_10,Staphylococcus_chromogenes,Inf
PG-2021_10,Staphylococcus_cohnii,Inf
PG-2021_10,Staphylococcus_epidermidis,Inf
PG-2021_10,Staphylococcus_equorum,Inf
PG-2021_10,Staphylococcus_fleuretti,NoInf
PG-2021_10,Staphylococcus_haemolyticus,NoInf
PG-2021_10,Staphylococcus_hominis,NoInf
PG-2021_10,Staphylococcus_hyicus,NoInf
PG-2021_10,Staphylococcus_kloosii,NoInf
PG-2021_10,Staphylococcus_lentus,Inf
PG-2021_10,Staphylococcus_lugdunensis,Inf
PG-2021_10,Staphylococcus_nepalensis,NoInf
PG-2021_10,Staphylococcus_pasteuri,Inf
PG-2021_10,Staphylococcus_pettenkoferi,NoInf
PG-2021_10,Staphylococcus_pseudintermedius,NoInf
PG-2021_10,Staphylococcus_saprophyticus,NoInf
PG-2021_10,Staphylococcus_schleiferi,Inf
PG-2021_10,Staphylococcus_sciuri,Inf
PG-2021_10,Staphylococcus_succinus,Inf
PG-2021_10,Staphylococcus_vitulinus,Inf
PG-2021_10,Staphylococcus_warneri,Inf
PG-2021_10,Staphylococcus_xylosus,Inf
PG-2021_12,Staphylococcus_arlettae,NoInf
PG-2021_12,Staphylococcus_aureus,Inf
PG-2021_12,Staphylococcus_auricularis,NoInf
PG-2021_12,Staphylococcus_capitis,NoInf
PG-2021_12,Staphylococcus_caprae,NoInf
PG-2021_12,Staphylococcus_chromogenes,Inf
PG-2021_12,Staphylococcus_cohnii,Inf
PG-2021_12,Staphylococcus_epidermidis,NoInf
PG-2021_12,Staphylococcus_equorum,Inf
PG-2021_12,Staphylococcus_fleuretti,Inf
PG-2021_12,Staphylococcus_haemolyticus,NoInf
PG-2021_12,Staphylococcus_hominis,NoInf
PG-2021_12,Staphylococcus_hyicus,NoInf
PG-2021_12,Staphylococcus_kloosii,Inf
PG-2021_12,Staphylococcus_lentus,NoInf
PG-2021_12,Staphylococcus_lugdunensis,NoInf
PG-2021_12,Staphylococcus_nepalensis,NoInf
PG-2021_12,Staphylococcus_pasteuri,NoInf
PG-2021_12,Staphylococcus_pettenkoferi,NoInf
PG-2021_12,Staphylococcus_pseudintermedius,NoInf
PG-2021_12,Staphylococcus_saprophyticus,NoInf
PG-2021_12,Staphylococcus_schleiferi,NoInf
PG-2021_12,Staphylococcus_sciuri,Inf
PG-2021_12,Staphylococcus_succinus,NoInf
PG-2021_12,Staphylococcus_vitulinus,Inf
PG-2021_12,Staphylococcus_warneri,NoInf
PG-2021_12,Staphylococcus_xylosus,Inf
PG-2021_14,Staphylococcus_arlettae,NoInf
PG-2021_14,Staphylococcus_aureus,Inf
PG-2021_14,Staphylococcus_auricularis,NoInf
PG-2021_14,Staphylococcus_capitis,NoInf
PG-2021_14,Staphylococcus_caprae,NoInf
PG-2021_14,Staphylococcus_chromogenes,Inf
PG-2021_14,Staphylococcus_cohnii,Inf
PG-2021_14,Staphylococcus_epidermidis,NoInf
PG-2021_14,Staphylococcus_equorum,Inf
PG-2021_14,Staphylococcus_fleuretti,Inf
PG-2021_14,Staphylococcus_haemolyticus,NoInf
PG-2021_14,Staphylococcus_hominis,NoInf
PG-2021_14,Staphylococcus_hyicus,NoInf
PG-2021_14,Staphylococcus_kloosii,Inf
PG-2021_14,Staphylococcus_lentus,Inf
PG-2021_14,Staphylococcus_lugdunensis,NoInf
PG-2021_14,Staphylococcus_nepalensis,NoInf
PG-2021_14,Staphylococcus_pasteuri,NoInf
PG-2021_14,Staphylococcus_pettenkoferi,NoInf
PG-2021_14,Staphylococcus_pseudintermedius,NoInf
PG-2021_14,Staphylococcus_saprophyticus,NoInf
PG-2021_14,Staphylococcus_schleiferi,NoInf
PG-2021_14,Staphylococcus_sciuri,Inf
PG-2021_14,Staphylococcus_succinus,NoInf
PG-2021_14,Staphylococcus_vitulinus,Inf
PG-2021_14,Staphylococcus_warneri,NoInf
PG-2021_14,Staphylococcus_xylosus,Inf
PG-2021_15,Staphylococcus_arlettae,NoInf
PG-2021_15,Staphylococcus_aureus,Inf
PG-2021_15,Staphylococcus_auricularis,NoInf
PG-2021_15,Staphylococcus_capitis,Inf
PG-2021_15,Staphylococcus_caprae,NoInf
PG-2021_15,Staphylococcus_chromogenes,Inf
PG-2021_15,Staphylococcus_cohnii,NoInf
PG-2021_15,Staphylococcus_epidermidis,Inf
PG-2021_15,Staphylococcus_equorum,Inf
PG-2021_15,Staphylococcus_fleuretti,NoInf
PG-2021_15,Staphylococcus_haemolyticus,NoInf
PG-2021_15,Staphylococcus_hominis,NoInf
PG-2021_15,Staphylococcus_hyicus,Inf
PG-2021_15,Staphylococcus_kloosii,NoInf
PG-2021_15,Staphylococcus_lentus,NoInf
PG-2021_15,Staphylococcus_lugdunensis,Inf
PG-2021_15,Staphylococcus_nepalensis,NoInf
PG-2021_15,Staphylococcus_pasteuri,NoInf
PG-2021_15,Staphylococcus_pettenkoferi,NoInf
PG-2021_15,Staphylococcus_pseudintermedius,NoInf
PG-2021_15,Staphylococcus_saprophyticus,NoInf
PG-2021_15,Staphylococcus_schleiferi,Inf
PG-2021_15,Staphylococcus_sciuri,NoInf
PG-2021_15,Staphylococcus_succinus,Inf
PG-2021_15,Staphylococcus_vitulinus,Inf
PG-2021_15,Staphylococcus_warneri,NoInf
PG-2021_15,Staphylococcus_xylosus,Inf
PG-2021_16,Staphylococcus_arlettae,NoInf
PG-2021_16,Staphylococcus_aureus,Inf
PG-2021_16,Staphylococcus_auricularis,NoInf
PG-2021_16,Staphylococcus_capitis,Inf
PG-2021_16,Staphylococcus_caprae,NoInf
PG-2021_16,Staphylococcus_chromogenes,Inf
PG-2021_16,Staphylococcus_cohnii,Inf
PG-2021_16,Staphylococcus_epidermidis,Inf
PG-2021_16,Staphylococcus_equorum,Inf
PG-2021_16,Staphylococcus_fleuretti,NoInf
PG-2021_16,Staphylococcus_haemolyticus,NoInf
PG-2021_16,Staphylococcus_hominis,NoInf
PG-2021_16,Staphylococcus_hyicus,NoInf
PG-2021_16,Staphylococcus_kloosii,NoInf
PG-2021_16,Staphylococcus_lentus,NoInf
PG-2021_16,Staphylococcus_lugdunensis,Inf
PG-2021_16,Staphylococcus_nepalensis,NoInf
PG-2021_16,Staphylococcus_pasteuri,NoInf
PG-2021_16,Staphylococcus_pettenkoferi,NoInf
PG-2021_16,Staphylococcus_pseudintermedius,NoInf
PG-2021_16,Staphylococcus_saprophyticus,NoInf
PG-2021_16,Staphylococcus_schleiferi,Inf
PG-2021_16,Staphylococcus_sciuri,NoInf
PG-2021_16,Staphylococcus_succinus,Inf
PG-2021_16,Staphylococcus_vitulinus,Inf
PG-2021_16,Staphylococcus_warneri,NoInf
PG-2021_16,Staphylococcus_xylosus,Inf
PG-2021_17,Staphylococcus_arlettae,NoInf
PG-2021_17,Staphylococcus_aureus,Inf
PG-2021_17,Staphylococcus_auricularis,Inf
PG-2021_17,Staphylococcus_capitis,Inf
PG-2021_17,Staphylococcus_caprae,NoInf
PG-2021_17,Staphylococcus_chromogenes,Inf
PG-2021_17,Staphylococcus_cohnii,Inf
PG-2021_17,Staphylococcus_epidermidis,Inf
PG-2021_17,Staphylococcus_equorum,Inf
PG-2021_17,Staphylococcus_fleuretti,NoInf
PG-2021_17,Staphylococcus_haemolyticus,NoInf
PG-2021_17,Staphylococcus_hominis,NoInf
PG-2021_17,Staphylococcus_hyicus,Inf
PG-2021_17,Staphylococcus_kloosii,Inf
PG-2021_17,Staphylococcus_lentus,Inf
PG-2021_17,Staphylococcus_lugdunensis,Inf
PG-2021_17,Staphylococcus_nepalensis,NoInf
PG-2021_17,Staphylococcus_pasteuri,NoInf
PG-2021_17,Staphylococcus_pettenkoferi,Inf
PG-2021_17,Staphylococcus_pseudintermedius,Inf
PG-2021_17,Staphylococcus_saprophyticus,NoInf
PG-2021_17,Staphylococcus_schleiferi,Inf
PG-2021_17,Staphylococcus_sciuri,Inf
PG-2021_17,Staphylococcus_succinus,Inf
PG-2021_17,Staphylococcus_vitulinus,Inf
PG-2021_17,Staphylococcus_warneri,NoInf
PG-2021_17,Staphylococcus_xylosus,Inf
PG-2021_18,Staphylococcus_arlettae,NoInf
PG-2021_18,Staphylococcus_aureus,Inf
PG-2021_18,Staphylococcus_auricularis,NoInf
PG-2021_18,Staphylococcus_capitis,Inf
PG-2021_18,Staphylococcus_caprae,NoInf
PG-2021_18,Staphylococcus_chromogenes,Inf
PG-2021_18,Staphylococcus_cohnii,NoInf
PG-2021_18,Staphylococcus_epidermidis,Inf
PG-2021_18,Staphylococcus_equorum,Inf
PG-2021_18,Staphylococcus_fleuretti,NoInf
PG-2021_18,Staphylococcus_haemolyticus,NoInf
PG-2021_18,Staphylococcus_hominis,NoInf
PG-2021_18,Staphylococcus_hyicus,NoInf
PG-2021_18,Staphylococcus_kloosii,NoInf
PG-2021_18,Staphylococcus_lentus,NoInf
PG-2021_18,Staphylococcus_lugdunensis,Inf
PG-2021_18,Staphylococcus_nepalensis,NoInf
